ID,name,sex,date_tissue_collected,bcs,est_dob,birth_year,mother,father,offspring,location_collected,body_notes
VSD 1,martha,F,NA,5,NA,2013,NA,NA,NA,daro,prominent spots
VSD 2,cain,M,NA,NA,NA,2011,NA,NA,NA,daro,NA
VSD 3,rafael,M,NA,3.25,NA,2013,NA,NA,NA,daro,NA
VSD 4,trinity,M,NA,4,11/19/19,2019,eve,michael,NA,daro,NA
VSD 5,michael,M,NA,4,NA,2013,NA,NA,NA,daro,NA
VSD 6,ariel,F,NA,NA,NA,2013,NA,NA,nouvelle,daro,NA
VSD 7,lilith,F,NA,3,NA,2013,NA,NA,NA,daro,NA
VSD 8,zadkiel,M,NA,2.6,NA,2015,NA,NA,NA,daro,inconspicuous spots
VSD 10,abraham,M,NA,3.5,NA,2011,NA,NA,NA,daro,genome based off of
VSD 11,ishmael,M,NA,3.25,NA,2011,NA,NA,NA,daro,NA
VSD 12,isaac,M,6/19/23,4,NA,2011,NA,NA,NA,daro,NA
VSD 13,uriel,M,6/19/23,3,NA,2013,NA,NA,NA,daro,NA
VSD 14,raziel,M,6/19/23,2.3,NA,2015,NA,NA,NA,daro,visible spots
VSD 15,nigbu,M,6/20/23,2.25,NA,NA,NA,NA,NA,daro,NA
VSD 16,moses,M,6/20/23,NA,NA,2016,NA,NA,NA,daro,NA
VSD 17,bathsheba,F,6/20/23,4,NA,2016,NA,NA,NA,daro,NA
VSD 18,haniel,F,6/21/23,3,NA,2013,NA,NA,NA,daro,NA
VSD 19,ruth,F,6/21/23,4,7/5/10,2010,NA,NA,NA,daro,NA
VSD 20,mary,F,6/21/23,NA,NA,NA,NA,NA,NA,daro,NA
VSD 21,barakiel,M,6/21/23,3,NA,2016,NA,NA,NA,daro,NA